Designator,Mid X,Mid Y,Rotation,Layer
FFC1,81.14,-70.28,90.0,top
FFC2,81.14,-85.28,90.0,top
FFC3,81.14,-100.28,90.0,top
FFC4,81.14,-115.28,90.0,top
FFC5,81.14,-130.28,90.0,top
FFC6,81.14,-145.28,90.0,top
FFC7,81.14,-160.28,90.0,top
FFC8,81.14,-175.28,90.0,top
LEMO01,56.06,-71.055,180.0,top
LEMO02,56.06,-86.055,180.0,top
LEMO03,56.06,-101.055,180.0,top
LEMO04,56.06,-116.055,180.0,top
LEMO05,56.06,-131.055,180.0,top
LEMO06,56.06,-146.055,180.0,top
LEMO07,56.06,-161.055,180.0,top
LEMO08,56.06,-176.055,180.0,top
POWER1,65.35,-55.28,90.0,bottom
POWER2,65.35,-185.28,270.0,top
