"Symbol";"Value";"Unit";
"TE_901781_1";"-55 – 85";"";
"TE_903146_2";"1270";"";
"TE_903467_1";"14.529";"";
"TE_903221";"Mechanical";"";
"TE_903222";"With";"";
"TE_901760";"Tray";"";
"TE_903198";"Polymethylpentene";"";
"Series";"OEG Miniature Relay PCF";"";
"TE_903199";"Zinc";"";
"TE_903240";"Bayonet";"";
"TE_901781_2";"-67 – 185";"";
"TE_903219";"Nickel";"";
"TE_903148";"50";"";
"TraceParts.PartVersion";"1.0.6";"";
"SUPPLIER";"TE Connectivity";"";
"REFERENCE";"413631-1";"";
"TE_903248";"Vertical";"";
"TE_901806";"Printed Circuit Board";"";
"TraceParts.PartTitle";"RF Connectors";"";
"TE_903467_2";".572";"";
"TE_903192_2";".2";"";
"TE_903192_1";"5.1";"";
"TE_907559";"Jack";"";
"TraceParts.PartNumber";"10-30072018-102471";"";
"TE_903249";"Without";"";
"TE_903147";"4";"";
"TE_903173";"1";"";
"DESIGN";"JACK,RTANG, PCB,50 OHM, BNC";"";
"TE_901846";"Board Mount";"";
"TE_901867";"Cable-to-Board";"";
"TE_903202";"Beryllium Copper";"";
"URL";"https://www.te.com/usa-en/product-413631-1.html?te_bu=Cor&te_bu=Cor&te_type=other&te_campaign=trp_glo_buylink-pdp&elqCampaignId=29714";"";
"TE_901870";"No";"";
"TE_903206";"BNC";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.InstanceId";"10-30072018-102471487ESEJDOKSAVPXK14JZAA73E";"";
"TE_903214";"Circular";"";
"TE_903215";"Commercial";"";
"Alias_2";"";"";
"Alias_1";"";"";
"TE_901869";"1";"";
"TE_903223";"Gold";"";
"TE_903246";"Through Hole";"";
"TraceParts.PartLanguage";"en";"";
"TE_903237";"Single Port";"";
"TE_903250";"Without";"";
"TE_903183_2";".432";"";
"TE_903183_1";"10.97";"";
