pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
130.6,-102.475,0.0,top,C1,,,C_0603_1608Metric,100n,smt
141.75,-90.0,180.0,top,C10,,,C_0603_1608Metric,100n,smt
132.775,-94.35,-90.0,top,C11,,,C_0402_1005Metric,1p,smt
134.375,-96.45,180.0,top,C12,,,C_0402_1005Metric,10n,smt
140.3,-93.975,-90.0,top,C13,,,C_0402_1005Metric,10n,smt
144.975,-96.1,0.0,top,C14,,,C_0603_1608Metric,1u,smt
145.25,-91.5,-90.0,top,C15,,,C_0603_1608Metric,100n,smt
142.025,-92.725,-90.0,top,C16,,,C_0603_1608Metric,100n,smt
141.75,-102.5,180.0,top,C2,,,C_0603_1608Metric,100n,smt
132.775,-106.85,-90.0,top,C3,,,C_0402_1005Metric,1p,smt
134.375,-108.95,180.0,top,C4,,,C_0402_1005Metric,10n,smt
140.3,-106.475,-90.0,top,C5,,,C_0402_1005Metric,10n,smt
144.975,-108.6,0.0,top,C6,,,C_0603_1608Metric,1u,smt
145.25,-104.0,-90.0,top,C7,,,C_0603_1608Metric,100n,smt
142.025,-105.225,-90.0,top,C8,,,C_0603_1608Metric,100n,smt
130.6,-90.075,0.0,top,C9,,,C_0603_1608Metric,100n,smt
99.24,-104.975,0.0,bottom,IC1,MICROFJ-30035-TSV-TR,,MICROFJ30035TSVTR_offset,MICROFJ-30035-TSV-TR,smt
103.275,-105.0,0.0,bottom,IC2,MICROFJ-30035-TSV-TR,,MICROFJ30035TSVTR_offset,MICROFJ-30035-TSV-TR,smt
96.25,-92.5,0.0,bottom,IC3,AFBR-S4N44P014M,,AFBRS4N44P014M_offset,AFBR-S4N44P014M,smt
103.25,-92.5,0.0,bottom,IC4,AFBR-S4N44P014M,,AFBRS4N44P014M_offset,AFBR-S4N44P014M,smt
150.0,-105.0,90.0,top,J1,,,Hirose_FH12-10S-0.5SH_1x10-1MP_P0.50mm_Horizontal,Conn_01x10_Socket,smt
150.0,-92.5,90.0,top,J2,,,Hirose_FH12-10S-0.5SH_1x10-1MP_P0.50mm_Horizontal,Conn_01x10_Socket,smt
130.575,-104.4,180.0,top,R1,,,R_0603_1608Metric,50,smt
130.625,-93.675,180.0,top,R10,,,R_0603_1608Metric,0,smt
134.375,-94.125,-90.0,top,R11,,,R_0603_1608Metric,200,smt
141.55,-96.175,0.0,top,R12,,,R_0603_1608Metric,50,smt
134.375,-102.525,180.0,top,R2,,,R_0603_1608Metric,200,smt
138.7,-104.0,-90.0,top,R3,,,R_0603_1608Metric,200,smt
130.625,-106.175,180.0,top,R4,,,R_0603_1608Metric,0,smt
134.375,-106.625,-90.0,top,R5,,,R_0603_1608Metric,200,smt
141.55,-108.675,0.0,top,R6,,,R_0603_1608Metric,50,smt
130.625,-91.975,180.0,top,R7,,,R_0603_1608Metric,50,smt
134.375,-90.025,180.0,top,R8,,,R_0603_1608Metric,200,smt
138.7,-91.5,-90.0,top,R9,,,R_0603_1608Metric,200,smt
137.5,-107.5,180.0,top,U1,,,SOT-23-5,LMH6609MF,smt
137.5,-95.0,180.0,top,U2,,,SOT-23-5,LMH6609MF,smt
