Designator,Mid X,Mid Y,Rotation,Layer
C1,130.6,-102.475,0.0,top
C10,141.75,-90.0,180.0,top
C12,134.375,-96.45,180.0,top
C13,140.3,-93.975,270.0,top
C14,144.975,-96.1,0.0,top
C15,145.25,-91.5,270.0,top
C16,142.025,-92.725,270.0,top
C2,141.75,-102.5,180.0,top
C4,134.375,-108.95,180.0,top
C5,140.3,-106.475,270.0,top
C6,144.975,-108.6,0.0,top
C7,145.25,-104.0,270.0,top
C8,142.025,-105.225,270.0,top
C9,130.6,-90.075,0.0,top
IC2,103.275,-105.0,180.0,bottom
IC4,103.25,-92.5,180.0,bottom
J1,150.0,-105.0,90.0,top
J2,150.0,-92.5,90.0,top
R10,130.625,-93.675,180.0,top
R11,134.375,-94.125,270.0,top
R12,141.55,-96.175,0.0,top
R2,134.375,-102.525,180.0,top
R3,138.7,-104.0,270.0,top
R4,130.625,-106.175,180.0,top
R5,134.375,-106.625,270.0,top
R6,141.55,-108.675,0.0,top
R8,134.375,-90.025,180.0,top
R9,138.7,-91.5,270.0,top
U1,137.5,-107.5,0.0,top
U2,137.5,-95.0,0.0,top
