Designator,Mid X,Mid Y,Rotation,Layer
C1,178.562,-106.68,270.0,top
C2,162.29675,-105.796,90.0,top
C3,160.26475,-105.796,90.0,top
C5,163.31275,-110.876,180.0,top
C6,176.022,-106.68,90.0,top
C7,171.44075,-108.844,270.0,top
CF1,166.36075,-105.796,90.0,top
IC1,167.65075,-109.794,180.0,top
IC2,151.325,-107.751,0.0,bottom
IC3,144.975,-107.751,0.0,bottom
IC4,138.625,-107.751,0.0,bottom
IC5,132.288,-107.751,0.0,bottom
J3,251.638,-107.704,90.0,top
R1,172.974,-104.704,0.0,top
R2,160.26475,-109.86,270.0,top
R3,163.31275,-108.844,180.0,top
R4,168.90075,-105.796,90.0,top
R5,175.138,-110.704,180.0,top
R6,178.638,-110.704,180.0,top
RF1,164.32875,-105.796,90.0,top
